ABOO AVL Rojinegro
16064588 2101520 47897503
24703936 1424699 1601290
10709518 2262720 1868950
7710619 1772000 1803809
63285231 5135509 1994670
25397926 1823480 3021480
57601422 2219969 1956510
46348123 2198400 5349909
98459376 2295879 2160339
68901240 2895249 4592729
40161143 2201840 1459051
55962522 1457110 1975649
28222836 1526160 1509970
35604145 2896830 2356710
12072689 1877320 1942190
12351939 2002900 2048200
100295355 23592027 2152720
49347663 1437070 1368090
7718789 1465710 21349447
28956766 2092360 10589468
35176235 2208969 2151250
56224012 2271079 2210200
58881161 2309230 2727669
19685287 2808679 2532980
14694548 2309480 2383650
67960540 2150170 2296909
17507208 2263919 2569110
17029768 45057034 2242610
51992342 2199830 2743729
60540761 2036550 2070180
49039563 2262479 2256290
43694153 2212730 2175190
133858290 1929419 6433170
92127116 1860780 6508869
72784419 4751509 6640699
55389902 1791739 1388630
51396812 2238170 2488550
74004949 2291029 2281740
82257488 3384900 6656778
50335163 2285530 5258979
26409846 2342880 2020389
73280359 2193960 4797580
31407215 2179120 8142238
79335779 6629949 2715400
28465376 32493415 2222490
88860557 2222230 1871420
52310453 1748659 1735390
52298702 2322970 2024301
21849137 2287580 2023800
74856948 2199540 2484730
28789156 2285419 2169800
83927427 2089300 2607740
74485439 2924669 4752840
30861395 2200710 2091709
93473066 2076510 2103930
89922026 5428389 3715869
32030185 1766990 1800710
28932255 12612119 2070819
37115505 2213070 1761759
38506485 2088009 1787540
65809010 2100160 1972810
47682782 1953181 2133299
69501090 4441149 7800689
57094172 9970568 1960329
140180339 2167050 2280190
59290711 17396768 1970280
76092529 2063290 1966990
102935135 4327409 4026350
18631027 2091049 2182129
17979448 1906689 2159340
81990568 2362209 4838820
78033979 2541330 2336239
20330777 2480260 2293099
75569398 3056610 2208040
106207284 15478748 2602929
100919595 9974249 1993589
39460245 2160419 2129460
30496316 2706769 2369510
93999696 2516349 2601719
17902247 2145919 36849335
28483146 1738419 2229630
21386897 2119940 2053070
18716467 2088199 2217999
24567996 52541333 2100319
22394817 2324670 2010130
24055426 46972373 1941650
30331125 2448210 2442179
72746190 3586209 3779170
32391325 6465999 2355789
66933391 2040719 1972619
27800966 1984030 2043779
11405409 2754150 2004950
54341262 1952450 2125649
76560319 2863290 2578279
54296162 2023860 2130160
55326271 6058969 4226470
18911127 2063620 1885020
74984350 2315930 6546299
59002741 2151140 4654709
34316195 6470369 2080260
70911470 2072040 2000590
52712972 2044970 1678390
31822816 2354479 2168880
16934017 2109720 2053950
64257641 2522400 2120370
18037378 2119269 2002819
93407327 4810089 1991470
72295290 1919779 2099200
25858356 3617629 1965090
74448140 2376780 2119799
179086903 2088841 1908229
24264896 2051460 2057100
73306109 2060839 2183800
15779108 1732730 2425899
10051779 1380399 55187533
24759476 2366659 2163099
17561368 1511419 50950803
19471647 2116639 1920259
8891158 1709449 2189640
9799678 1724570 55783401
25660867 2042439 2238440
16409238 1420069 1739289
9109609 1786000 1639560
50092883 1546460 2043130
27024546 2298819 6002600
56974851 2213160 2085919
16625008 2432490 2214369
13826308 48192953 1901289
21903366 2371790 2201130
14908028 2102960 2457240
66979020 2355950 2284790
86075218 1945610 2281090
19704657 2156040 2280259
13406858 2219570 48657443
18611187 2180080 2387439
13335338 2167000 2212220
60964131 2400109 2391420
15067308 2374219 2192740
14803468 1827840 2008129
60557891 2034849 1807990
20865308 2639220 2045670
13150858 1870559 1380951
53652782 2305999 2076460
15669368 2181369 7497919
70648069 2061789 1915730
14278438 1845270 2025031
10835529 1899519 1660870
71209200 2032189 1811990
10305768 1840889 1982050
11008659 2045190 1957500
74930249 2132180 2234390
16129517 2174209 2055079
63638771 2032049 2108210
20586297 10553138 2093100
65255321 2244619 1728060
16993068 2121990 1603870
69719100 2074249 4043110
14279718 2386290 2232800
13336058 1802380 50754432
27110476 2076740 3951239
13632308 2051970 2037150
66460710 1464919 1442530
88451667 2032270 2027849
34223594 2170140 52382113
20979376 2048370 2500120
86213417 1993250 1948800
16573618 2043139 1905600
76235029 2202720 1870769
13574618 1805010 2056840
75660889 2238580 1813110
14757198 2083449 2033569
68593590 2101190 2223410
19517267 2304289 2273810
15733527 2114379 1677600
69406580 2112360 1988299
13253018 2051780 1617410
62298260 1947670 1970770
10853808 1401590 1809060
13806389 2077590 2076560
69654600 1445700 1590590
7512329 1674230 1845070
9146308 2081960 2094830
77462538 2037140 2003519
14592348 2011750 1649030
15731747 2087830 1993829
51454212 1441080 1449840
10723148 2208640 2082380
13179098 2060569 1928620
73297539 2246889 2305839
14609508 2008781 1826850
62251841 1910319 1857790
23718027 2195029 2132830
73806509 2141259 2020441
26206456 1982330 2006160
68700940 2002909 1659730
6976529 1547700 1509970
15974257 2154720 2013809
71601099 2066050 2036890
25035846 2115510 51647852
20216177 2120940 1946249
10388678 1614550 1584380
9222459 1691560 55848582
19386748 1973539 1934009
11150009 2059990 1937010
10051638 46882013 1891039
16062808 1967920 2048970
8594849 1475930 1828659
8547079 1684390 54767633
13787328 1789470 1867780
8774729 1683650 1528189
7269110 1688590 1604409
9418749 50696474 2115750
21353277 2125769 2049910
11479099 1994020 1762249
69857242 2032270 1969789
21627327 2157180 1918840
70779141 1661640 1419940
9294189 1516150 1422689
6900280 1956199 1755980
6774079 1527880 1480550
67325422 1450159 1393320
7054659 1768159 1844040
9035109 2097619 1848840
63522111 1498369 1377340
6186199 1452900 1370150
6290949 1487810 1398050
6753199 1625460 1476710
7160529 54477913 1456380
13390978 1737160 2007190
10953368 1576719 1535990
9372179 1658250 1553930
60162292 2016930 1939910
13556728 1775330 1630650
9133959 1721081 1964119
61013922 2139309 2107330
22736247 2075970 1833260
15466718 52835313 1715200
23537677 74570610 2055490
102537577 2985260 4097279
22651747 2217280 2151060
100787918 1757050 2090670
12567758 2154260 2509070
45885774 1736130 1439380
15930698 4211029 1960860
13800019 2103689 1899990
62591982 1890510 1995890
20227827 2292010 2317330
82683699 2054159 1961440
23247017 1901920 46415414
20443318 2111739 2072479
15718688 1978500 1959910
